group_name,type,enabled,note
Cao Thiên - nhân sự,source,1,
AD HOME & ACE MG,source,1,
SaiGonTro | Cộng Đồng CHDV 1,source,1,
SIÊU THỊ CHDV HCM,source,1,
Cộng đồng CHDV,source,1,
"GROUP HỖ TRỢ SALE TÌM CHỦ, CHỦ TÌM SALE ( CHDV )",source,1,
KẾT NỐI GIAO LƯU HOST & SALE CHDV TẠI TP.HCM,source,1,
Hổ Trợ Chủ Đầu Tư-F1 Sale Phòng,source,1,
HỢP TÁC SALE PHÒNG,source,1,
"254 HOÀ HƯNG , PHƯỜNG 12 QUẬN 10",source,1,
Hệ Thống Phòng Trống - Findhomes,source,1,
"42/6/17 Đồng Xoài, Tân Bình",source,1,
"46/104 Võ Văn Tần, PVTS, Q3 - ESTAR VÀ SALE",source,1,
GIỎ HÀNG CHÍNH CHỦ | HOST CHDV,source,1,
CHDV Gò Vấp Q12. Huy,source,1,
"Sale 191 Nguyễn Tiểu La, P8, Q10",source,1,
Hỗ Trợ Nguồn Hàng Sale Phòng,source,1,
Trọ Gò Vấp-Gần Quang Trung Tân Sơn - Nhatro4U,source,1,
Phòng Trọ Hi 3Home - Sale Phòng,source,1,
SALE NHA TRO SẠCH 76/2N Lê Văn Chí,source,1,
GIỎ HÀNG-740/7 SƯ VẠN HẠNH Q.10-LH 0909.850.022,source,1,
"JinJoo - CHDV Tân Phú, Bình Tân",source,1,
Nhà trọ trí-đài,source,1,
List CHDV Trống Cần Lấp TPHCM,source,1,
Hỗ Trợ F1/Host Lấp Phòng/CHDV MBKD,source,1,
Nguồn CHDV - Lấp Phòng TP.HCM,source,1,
BHouse2 - Căn hộ Bình dân SG,source,1,
"JOOHOUSE-25 CỬU LONG, P.2,TÂN BÌNH",source,1,
🌷 736/120 Lê Đức Thọ P15 GÒ VẤP,source,1,
SALE CHDV TRUNG TÂM 💦,source,1,
CHDV Quận 3- Quận 10,source,1,
Sales Tân Bình - Tân Phú - Bình Tân,source,1,
HỆ THỐNG NHÀ SANG/THUÊ - TN GROUP,source,1,
Nhóm chuyên SANG CHDV Tp.HCM,source,1,
"CĂN HỘ 1PN, 2PN HỆ THỐNG NEWHOME",source,1,
BJC Homes - Group Tổng,source,1,
98. Trần Hữu Trang Phú Nhuận,source,1,
Dự Án Mới 148/2 Đường Số 1,source,1,
🌿 CHỢ Sale Phòng 2 | Đất Lành,source,1,
Yoho Apartment_CHDV_Q.1_Q.3_PN_BT,source,1,
324F Lý Thường Kiệt Q10 - JOO HOUSE,source,1,
"Dự án mới 575/33C CMT8, Q10",source,1,
"164 Võ Thành Trang, P11, Tân Bình - ROOMY",source,1,
Căn hộ p tr 131/20 Tô Hiến Thành,source,1,
CHDV 169B Đs9 GV,source,1,
Ihouse- Q1-Q4-Tân Bình,source,1,
ZIN - Kết Nối Nguồn Hàng,source,1,
"HN HOMES - UPDATE - TÂN BÌNH, TÂN PHÚ",source,1,
sale nhà cho Minh New-NHÀ TỐT,source,1,
CHDV 🏙 TRUNG TÂM PHẠM VĂN ĐỒNG BT-PN-GV,source,1,
"331/51/84 Phan Huy Ích, P12, Gò Vấp - Cozy HOUSE",source,1,
212b/d25-214/b8 Nguyễn Trãi Sale,source,1,
Sales 37b nguyễn thông,source,1,
HCM_Q1_ĐK_80/34 Mạc Đỉnh Chi,source,1,
Sale 183/47A Bùi Viện,source,1,
187 điện biên phủ sales,source,1,
SWEETHOME Dự Án Mới - 354 Âu Cơ - P10 Tân Bình,source,1,
SALE 14/14 NGUYỄN VĂN LƯỢNG - NICEHOUSES,source,1,
Cộng Đồng Môi Giới Gò Vấp,source,1,
"DỰ ÁN 49/48 PHẠM VĂN BẠCH, P15, TÂN BÌNH",source,1,
SWEETHOME Tân Bình,source,1,
Bất động sản - Tài chính - Đầu tư,source,1,
